Feature,Standardized Coefficient,CI Lower (Standardized),CI Upper (Standardized),Original Scale Coefficient,CI Lower (Original Scale),CI Upper (Original Scale)
Intercept,-0.4802040962417291,-0.48586563470326755,-0.47454255778019067,-20.347265383223462,-20.352926921685,-20.341603844761924
radius_mean,0.3996078394006559,0.050432816143239634,0.7487828626580721,0.11349429928408156,0.014323635736687962,0.21266496283147512
texture_mean,0.44937842257645044,0.4297152260844253,0.4690416190684756,0.10457337545180123,0.09999761763603013,0.10914913326757233
perimeter_mean,0.38953255059268915,0.039046649932079014,0.7400184512532992,0.016044923758407825,0.0016083393293530991,0.030481508187462546
area_mean,0.37311669291982763,0.26577085408194656,0.4804625317577087,0.0010611821615265449,0.000755879580724191,0.0013664847423288987
smoothness_mean,0.11680200711646897,0.10091400487686379,0.13269000935607417,8.312266457289288,7.181589756178163,9.442943158400414
compactness_mean,0.018264927915528677,-0.023461601797589448,0.0599914576286468,0.3461474053299656,-0.44463206341022,1.136926874070151
concavity_mean,0.35022455115129786,0.29781998047152175,0.40262912183107397,4.397059118908136,3.7391212484119274,5.054996989404345
concave points_mean,0.3588219034566385,0.311545966177421,0.40609784073585603,9.255445836750187,8.036011146018513,10.474880527481863
symmetry_mean,0.10149442857957319,0.0893641527200752,0.11362470443907119,3.7055041396961457,3.2626346340287924,4.148373645363498
fractal_dimension_mean,-0.2680354082074173,-0.2918950876589027,-0.24417572875593188,-37.99680822321197,-41.37916606335167,-34.614450383072274
radius_se,0.4322407924699924,0.38168794955066104,0.4827936353893238,1.5600477992601758,1.3775919720533456,1.742503626467006
texture_se,-0.07457851387789115,-0.08597826263403828,-0.06317876512174402,-0.13531107152169294,-0.15599413610780066,-0.1146280069355852
perimeter_se,0.3220188192456648,0.2731002941448004,0.37093734434652914,0.1594091727399296,0.13519300538594273,0.18362534009391648
area_se,0.33367283268105996,0.2965472749579588,0.3707983904041611,0.007341372779297395,0.006524547038062635,0.008158198520532156
smoothness_se,0.07968748325229559,0.0684356493794673,0.09093931712512388,26.56357141871236,22.81280805571268,30.31433478171204
compactness_se,-0.2017491089526702,-0.22346975647271847,-0.18002846143262194,-11.275664780238905,-12.489621766305437,-10.061707794172374
concavity_se,0.003579936598556187,-0.019273131411249905,0.026433004608362277,0.11870003992033584,-0.6390396603190951,0.8764397401597667
concave points_se,0.08936453984398217,0.07002909164426789,0.10869998804369645,14.495792122332634,11.359395536119326,17.632188708545947
symmetry_se,-0.14241696265677964,-0.15557444545137167,-0.1292594798621876,-17.243632720129472,-18.836721047523085,-15.650544392735858
fractal_dimension_se,-0.2609953559801177,-0.27943869096924057,-0.24255202099099482,-98.72184368031796,-105.69805989268086,-91.74562746795505
radius_worst,0.5078127677319167,0.3461223203902184,0.6695032150736151,0.10515915270802977,0.0716758857957421,0.13864241962031743
texture_worst,0.5928233704630714,0.5684748863715839,0.6171718545545589,0.09653760530819529,0.09257260584260267,0.1005026047737879
perimeter_worst,0.4664815271707675,0.3553067071497493,0.5776563471917857,0.013894543395003027,0.010583108169298574,0.017205978620707482
area_worst,0.4442194304696653,0.3385863816803509,0.5498524792589796,0.0007808989833517193,0.0005952053041700043,0.0009665926625334342
smoothness_worst,0.46438264785849837,0.4463697432555525,0.4823955524614442,20.356627295048558,19.567015566026406,21.14623902407071
compactness_worst,0.20945866642325034,0.1751892845990651,0.24372804824743557,1.3324497668440574,1.114448618449192,1.5504509152389225
concavity_worst,0.44614765677935314,0.413499743633307,0.4787955699253993,2.140403880047323,1.9837747486120214,2.297033011482625
concave points_worst,0.4851819232226972,0.45145390688190123,0.5189099395634932,7.387669803531077,6.874106878105406,7.901232728956747
symmetry_worst,0.4318440701189592,0.41380903587953777,0.44987910435838063,6.9862896378423605,6.6945223506586,7.27805692502612
fractal_dimension_worst,0.14777839745798638,0.12366089210076335,0.1718959028152094,8.189260698720409,6.852769424146692,9.525751973294124
