model_name,interpretability,dataset_version,Accuracy,Precision,Recall,F1_Score,ROC_AUC,interpretability_score
LogisticRegression,Good,1.0.0,0.9736842105263158,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9874338624338624,2
LogisticRegression,Good,1.1.0,0.9736842105263158,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9884259259259259,2
LogisticRegression_L2,Good,1.0.0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9871031746031745,2
LogisticRegression_L2,Good,1.1.0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9884259259259259,2
LogisticRegression,Good,1.2.0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9880952380952381,2
LogisticRegression_L2,Good,1.2.0,0.9473684210526315,0.8913043478260869,0.9761904761904762,0.9318181818181818,0.9880952380952381,2
LogisticRegression,Good,1.3.0,0.9473684210526315,0.8913043478260869,0.9761904761904762,0.9318181818181818,0.9874338624338623,2
DecisionTree_Entropy,Good,1.0.0,0.9385964912280702,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.955026455026455,2
DecisionTree_Entropy,Good,1.2.0,0.9385964912280702,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.955026455026455,2
DecisionTree_Gini,Good,1.3.0,0.9385964912280702,0.9069767441860465,0.9285714285714286,0.9176470588235294,0.9158399470899471,2
DecisionTree_Entropy,Good,1.1.0,0.9298245614035088,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.9522156084656085,2
LogisticRegression_L2,Good,1.3.0,0.9298245614035088,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.9874338624338623,2
DecisionTree_Entropy,Good,1.3.0,0.9298245614035088,0.8695652173913043,0.9523809523809523,0.9090909090909091,0.94130291005291,2
ExtraTreeClassifier,Good,1.0.0,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9523809523809523,2
GaussianNB,Good,1.2.0,0.9210526315789473,0.8367346938775511,0.9761904761904762,0.9010989010989011,0.9618055555555556,2
DecisionTree_Gini,Good,1.0.0,0.9122807017543859,0.82,0.9761904761904762,0.8913043478260869,0.9232804232804233,2
DecisionTree_Gini,Good,1.2.0,0.9122807017543859,0.82,0.9761904761904762,0.8913043478260869,0.9232804232804233,2
GaussianNB,Good,1.0.0,0.9122807017543859,0.8333333333333334,0.9523809523809523,0.8888888888888888,0.9831349206349207,2
GaussianNB,Good,1.1.0,0.9122807017543859,0.8333333333333334,0.9523809523809523,0.8888888888888888,0.9831349206349207,2
DecisionTree_Gini,Good,1.1.0,0.9035087719298246,0.803921568627451,0.9761904761904762,0.8817204301075269,0.9102182539682541,2
GaussianNB,Good,1.3.0,0.8859649122807017,0.8085106382978723,0.9047619047619048,0.8539325842696629,0.9512235449735449,2
ExtraTreeClassifier,Good,1.1.0,0.8421052631578947,0.7068965517241379,0.9761904761904762,0.82,0.9246031746031746,2
ExtraTreeClassifier,Good,1.2.0,0.8421052631578947,0.9,0.6428571428571429,0.75,0.8680555555555556,2
ExtraTreeClassifier,Good,1.3.0,0.8070175438596491,0.8333333333333334,0.5952380952380952,0.6944444444444444,0.8040674603174602,2
KNeighbors_K3,Medium,1.0.0,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9846230158730159,1
