is_self_employed,organization_size,is_tech_company,is_mh_benefits_provided,is_aware_mh_care_available,is_mh_discussed_by_employer,is_mh_resources_provided_by_employer,is_anonymity_protected,how_is_asking_for_medical_leave_due_to_mhi,is_discussing_mhd_with_employer_have_negative_consequences,is_discussing_phd_with_employer_have_negative_consequences,is_willing_to_discuss_mhi_with_colleagues,is_willing_to_discuss_mhi_with_direct_supervisor,is_employer_takes_mh_seriously,is_aware_of_previous_negative_consequence_of_colleagues_with_mhi,is_previously_employed,is_previous_employer_provides_mh_benefits,is_aware_mh_options_by_previous_employer,is_mh_discussed_by_previous_employer,is_mh_resources_provided_by_previous_employer,is_anonymity_protected_by_previous_employer,is_discussing_mhd_with_previous_employer_have_negative_consequences,is_discussing_phd_with_previous_employer_have_negative_consequences,is_willing_to_discuss_mhi_with_previous_colleagues,is_willing_to_discuss_mhi_with_previous_direct_supervisor,is_previous_employer_takes_mh_seriously,is_aware_of_previous_negative_consequence_of_colleagues_with_mhi_in_previous_workplace,is_willing_to_bring_phi_in_interview,why_or_why_not_bring_phi_in_interview,is_willing_to_bring_mhi_in_interview,why_or_why_not_bring_mhi_in_interview,is_being_identified_with_mhi_would_hurt_your_career,is_being_identified_with_mhi_would_lower_your_status_among_colleagues,is_wiling_to_share_about_mhi,previously_observed_experienced_response_to_mhi,family_history_of_mhi,previous_history_of_mhi,is_having_mhd,diagnosed_by_professional,is_sought_treatment_for_mhi,is_mhi_interferes_with_your_work_when_treated_effectively,is_mhi_does_not_interfere_with_your_work_when_treated_effectively,age,gender,country_of_residency,country_of_work,role_description,is_remote
0,26-100,1,Not eligible for coverage / N/A,No,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),I don't know,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Bias and Discrimination,Maybe,Bias and Discrimination,Maybe,"No, I don't think they would",Somewhat open,No,No,Yes,No,Yes,0,Not applicable to me,Not applicable to me,30s,Male,United Kingdom,United Kingdom,IT,Sometimes
0,6-25,1,No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,"Yes, they all did",I was aware of some,None did,Some did,"Yes, always",None of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Maybe,Low hiring chances,No,Bias and Discrimination,"No, I don't think it would","No, I don't think they would",Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,20s,Male,United States of America,United States of America,IT,Never
0,6-25,1,No,No,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,1,"No, none did",N/A (not currently aware),None did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,Some of them,Yes,Transparency and Integrity,Yes,Bias and Discrimination,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Maybe,No,No,1,Not applicable to me,Not applicable to me,30s,Male,United Kingdom,United Kingdom,IT,Always
1,26-100,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Yes,Performance-related Concerns,Maybe,Negative impact on the outcome,"Yes, I think it would",Maybe,Neutral,No,No,Yes,Yes,Yes,1,Sometimes,Sometimes,40s,Male,United Kingdom,United Kingdom,Management,Sometimes
0,6-25,0,Yes,Yes,No,No,No,Neither easy nor difficult,Yes,Maybe,Maybe,No,No,No,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,Bias and Discrimination,No,Other,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,40s,Female,United States of America,United States of America,Management,Sometimes
0,More than 1000,1,Yes,I am not sure,No,Yes,Yes,Somewhat easy,Yes,Yes,Maybe,Yes,No,Yes,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,Performance-related Concerns,Maybe,Uncertainty about Employer Reaction,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",No,No,Yes,No,1,Not applicable to me,Often,40s,Male,United Kingdom,United Kingdom,IT,Sometimes
0,26-100,1,I don't know,No,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,Some did,I was aware of some,None did,Some did,I don't know,None of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",Some did,None of them,Yes,Low hiring chances,Yes,Transparency and Integrity,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,United States of America,United States of America,IT,Sometimes
0,More than 1000,1,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,Low hiring chances,No,Low hiring chances,Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Sometimes,Often,30s,Female,United States of America,United States of America,Advocacy,Always
0,26-100,0,I don't know,No,No,No,I don't know,Very difficult,Yes,Yes,Yes,Maybe,No,No,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,Bias and Discrimination,Maybe,Bias and Discrimination,Maybe,"Yes, they do",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Rarely,Often,40s,Female,United States of America,United States of America,Support,Sometimes
1,26-100,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,Transparency and Integrity,Maybe,Uncertainty about Employer Reaction,Maybe,"No, I don't think they would",Very open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,30s,Male,United States of America,United States of America,One-person shop,Always
