price_id,product_description,unit_price
1,4 PURPLE FLOCK DINNER CANDLES,2.55
2,50 S CHRISTMAS GIFT BAG LARGE,1.25
3,DOLLY GIRL BEAKER,1.25
4,I LOVE LONDON MINI BACKPACK,4.15
5,I LOVE LONDON MINI RUCKSACK,4.15
6,NINE DRAWER OFFICE TIDY,14.95
7,OVAL WALL MIRROR DIAMANTE ,20.38
8,RED SPOT GIFT BAG LARGE,1.25
9,SET 2 TEA TOWELS I LOVE LONDON ,2.95
10,SPACEBOY BABY GIFT SET,16.95
11,TOADSTOOL BEDSIDE LIGHT ,8.95
12,TRELLIS COAT RACK,4.95
13,BOOMBOX IPOD CLASSIC,16.98
14,USB OFFICE MIRROR BALL,8.47
15,10 COLOUR SPACEBOY PEN,0.85
16,12 COLOURED PARTY BALLOONS,0.65
17,12 DAISY PEGS IN WOOD BOX,1.65
18,12 EGG HOUSE PAINTED WOOD,25.49
19,12 HANGING EGGS HAND PAINTED,2.08
20,12 IVORY ROSE PEG PLACE SETTINGS,2.51
21,12 MESSAGE CARDS WITH ENVELOPES,1.65
22,12 PENCIL SMALL TUBE WOODLAND,0.65
23,12 PENCILS SMALL TUBE RED RETROSPOT,1.28
24,12 PENCILS SMALL TUBE SKULL,0.65
25,12 PENCILS TALL TUBE POSY,0.85
26,12 PENCILS TALL TUBE RED RETROSPOT,0.85
27,12 PENCILS TALL TUBE SKULLS,0.85
28,12 PENCILS TALL TUBE WOODLAND,1.66
29,12 PINK HEN+CHICKS IN BASKET,2.55
30,12 PINK ROSE PEG PLACE SETTINGS,1.25
31,12 RED ROSE PEG PLACE SETTINGS,2.51
32,15 PINK FLUFFY CHICKS IN BOX,2.95
33,15CM CHRISTMAS GLASS BALL 20 LIGHTS,16.98
34,16 PC CUTLERY SET PANTRY DESIGN,15.95
35,16 PIECE CUTLERY SET PANTRY DESIGN,33.29
36,18PC WOODEN CUTLERY SET DISPOSABLE,1.25
37,2 DAISIES HAIR COMB,2.96
38,2 PICTURE BOOK EGGS EASTER BUNNY,1.25
39,2 PICTURE BOOK EGGS EASTER CHICKS,1.25
40,2 PICTURE BOOK EGGS EASTER DUCKS,1.25
41,20 DOLLY PEGS RETROSPOT,1.25
42,200 BENDY SKULL STRAWS,1.25
43,200 RED + WHITE BENDY STRAWS,1.25
44,3 BIRDS CANVAS SCREEN,1.65
45,3 DRAWER ANTIQUE WHITE WOOD CABINET,8.95
46,3 GARDENIA MORRIS BOXED CANDLES,4.25
47,3 HEARTS HANGING DECORATION RUSTIC,2.95
48,3 HOOK HANGER MAGIC GARDEN,1.95
49,3 HOOK PHOTO SHELF ANTIQUE WHITE,8.5
50,3 PIECE SPACEBOY COOKIE CUTTER SET,2.1
51,3 PINK HEN+CHICKS IN BASKET,1.25
52,3 RAFFIA RIBBONS 50 S CHRISTMAS ,2.08
53,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,4.13
54,3 ROSE MORRIS BOXED CANDLES,4.25
55,3 STRIPEY MICE FELTCRAFT,1.95
56,3 TIER CAKE TIN GREEN AND CREAM,14.95
57,3 TIER CAKE TIN RED AND CREAM,14.95
58,3 TIER SWEETHEART GARDEN SHELF,35.95
59,3 TRADITIONAL BISCUIT CUTTERS  SET,2.1
60,3 TRADITIONAL COOKIE CUTTERS  SET,2.1
61,3 WHITE CHOC MORRIS BOXED CANDLES,4.25
62,3 WICK CHRISTMAS BRIAR CANDLE ,8.47
63,36 DOILIES DOLLY GIRL,2.98
64,36 DOILIES VINTAGE CHRISTMAS,1.45
65,36 FOIL HEART CAKE CASES,2.1
66,36 FOIL STAR CAKE CASES ,2.1
67,36 PENCILS TUBE POSY,1.25
68,36 PENCILS TUBE RED RETROSPOT,1.25
69,36 PENCILS TUBE SKULLS,1.25
70,36 PENCILS TUBE WOODLAND,1.25
71,3D CHRISTMAS STAMPS STICKERS ,1.25
72,3D DOG PICTURE PLAYING CARDS,2.95
