AirportCode,City,StateCode,StateName,Latitude,Longitude,Flights
DHN,Dothan,AL,Alabama,31.321627,-85.44961351,234
BHM,Birmingham,AL,Alabama,33.56349565,-86.75152732,3983
MGM,Montgomery,AL,Alabama,32.2962424,-86.39041851,685
MOB,Mobile,AL,Alabama,30.6926918,-88.24133863,1119
HSV,Huntsville,AL,Alabama,34.63699305,-86.76383388,1766
YAK,Yakutat,AK,Alaska,59.50081355,-139.6440808,144
DUT,Unalaska,AK,Alaska,53.8990136,-166.5447033,41
GST,Gustavus,AK,Alaska,58.42498035,-135.7054108,17
BRW,Barrow,AK,Alaska,71.28622155,-156.7745708,170
ANC,Anchorage,AK,Alaska,61.18103525,-149.9978919,4120
WRG,Wrangell,AK,Alaska,56.48381455,-132.3716608,136
CDV,Cordova,AK,Alaska,60.49175165,-145.4738854,168
ADQ,Kodiak,AK,Alaska,57.7535941,-152.5136697,134
AKN,King Salmon,AK,Alaska,58.6753166,-156.649387,42
ADK,Adak Island,AK,Alaska,51.8759083,-176.6503973,25
KTN,Ketchikan,AK,Alaska,55.35376475,-131.7083563,487
OTZ,Kotzebue,AK,Alaska,66.8836843,-162.6107466,215
OME,Nome,AK,Alaska,64.51413245,-165.4657277,215
BET,Bethel,AK,Alaska,60.7789171,-161.8381152,218
SIT,Sitka,AK,Alaska,57.0479557,-135.3635849,268
JNU,Juneau,AK,Alaska,58.3566191,-134.580193,899
DLG,Dillingham,AK,Alaska,59.0433568,-158.5112028,27
PSG,Petersburg,AK,Alaska,56.80197975,-132.9449311,165
SCC,Deadhorse,AK,Alaska,70.1949782,-148.4642409,148
FAI,Fairbanks,AK,Alaska,64.8144016,-147.8586809,985
TUS,Tucson,AZ,Arizona,32.11264765,-110.9346376,4401
AZA,Phoenix,AZ,Arizona,33.30591455,-111.6526441,103
PRC,Prescott,AZ,Arizona,22.3160874,113.9364784,12
PHX,Phoenix,AZ,Arizona,33.43284865,-112.0067915,38450
YUM,Yuma,AZ,Arizona,32.64851395,-114.6077259,430
FLG,Flagstaff,AZ,Arizona,35.14039825,-111.6702044,233
IFP,Bullhead City,AZ,Arizona,35.154391,-114.5586821,6
XNA,Fayetteville,AR,Arkansas,36.27981,-94.30259017,2149
TXK,Texarkana,AR,Arkansas,33.45252615,-93.99025019,234
LIT,Little Rock,AR,Arkansas,34.7311092,-92.22457818,3180
FSM,Fort Smith,AR,Arkansas,35.3392525,-94.35697826,419
LGB,Long Beach,CA,California,33.8155659,-118.1534292,2449
SMX,Santa Maria,CA,California,34.8994719,-120.4555162,235
SBA,Santa Barbara,CA,California,34.4274301,-119.8431399,1854
SNA,Santa Ana,CA,California,33.6742048,-117.8680243,9587
MMH,Mammoth Lakes,CA,California,37.6254888,-118.8417509,24
ACV,Arcata/Eureka,CA,California,40.9763645,-124.1084259,545
VIS,Visalia,CA,California,36.3161377,-119.3904284,23
IPL,El Centro,CA,California,32.83500895,-115.5742827,71
ONT,Ontario,CA,California,34.0555978,-117.601371,6223
BUR,Burbank,CA,California,34.20317265,-118.3591782,5851
PSP,Palm Springs,CA,California,33.83033915,-116.5096453,2250
MRY,Monterey,CA,California,36.58705795,-121.8419398,1083
FAT,Fresno,CA,California,36.776006,-119.7197446,2257
STS,Santa Rosa,CA,California,38.51041215,-122.8143895,54
SBP,San Luis Obispo,CA,California,35.2374914,-120.6433199,904
IYK,Inyokern,CA,California,35.65830415,-117.8302215,105
SCK,Stockton,CA,California,37.8943699,-121.2436346,28
BFL,Bakersfield,CA,California,35.4364902,-119.0588838,639
CLD,Carlsbad,CA,California,33.12754605,-117.2814001,296
CEC,Crescent City,CA,California,41.7814506,-124.2380711,108
OXR,Oxnard/Ventura,CA,California,34.20009175,-119.2078946,128
MOD,Modesto,CA,California,37.626058,-120.9577178,187
SMF,Sacramento,CA,California,38.68722345,-121.5903701,9847
RDD,Redding,CA,California,40.51108035,-122.296109,261
CIC,Chico,CA,California,39.79399045,-121.8547911,145
SFO,San Francisco,CA,California,37.622452,-122.3839894,31220
LAX,Los Angeles,CA,California,33.94216755,-118.4213591,46547
SAN,San Diego,CA,California,32.73336075,-117.1922464,17665
SJC,San Jose,CA,California,37.3633299,-121.9293365,11629
PMD,Palmdale,CA,California,34.6274752,-118.0939756,9
OAK,Oakland,CA,California,37.72225915,-122.2170166,12273
