StateCode,Origin,Month,Reporting_Airline,AirTime
AK,ADK,1,AS,149
AK,ADK,3,AS,0
AK,ADK,4,AS,311
AK,ADK,5,AS,262
AK,ADK,6,AS,319
AK,ADK,7,AS,283
AK,ADK,8,AS,243
AK,ADK,9,AS,427
AK,ADK,10,AS,321
AK,ADK,11,AS,150
AK,ADK,12,AS,592
AK,ADQ,1,AS,499
AK,ADQ,2,AS,432
AK,ADQ,3,AS,208
AK,ADQ,4,AS,490
AK,ADQ,5,AS,341
AK,ADQ,6,AS,382
AK,ADQ,7,AS,489
AK,ADQ,8,AS,732
AK,ADQ,9,AS,289
AK,ADQ,10,AS,531
AK,ADQ,11,AS,458
AK,ADQ,12,AS,295
AK,AKN,1,AS,56
AK,AKN,3,AS,58
AK,AKN,4,AS,236
AK,AKN,5,AS,239
AK,AKN,6,AS,47
AK,AKN,7,AS,183
AK,AKN,8,AS,449
AK,AKN,9,AS,47
AK,AKN,10,AS,110
AK,AKN,11,AS,116
AK,AKN,12,AS,162
AK,ANC,1,AS,30811
AK,ANC,1,CO,1383
AK,ANC,1,DL,3994
AK,ANC,1,NW,2565
AK,ANC,1,UA,2504
AK,ANC,1,US,604
AK,ANC,2,AA,305
AK,ANC,2,AS,25806
AK,ANC,2,CO,1573
AK,ANC,2,DL,2531
AK,ANC,2,NW,844
AK,ANC,2,TW,193
AK,ANC,2,UA,1503
AK,ANC,2,US,1162
AK,ANC,3,AA,299
AK,ANC,3,AS,31927
AK,ANC,3,CO,2132
AK,ANC,3,DL,3565
AK,ANC,3,HP,276
AK,ANC,3,NW,1761
AK,ANC,3,UA,2345
AK,ANC,3,US,1463
AK,ANC,4,AS,23436
AK,ANC,4,CO,855
AK,ANC,4,DL,3327
AK,ANC,4,NW,2630
AK,ANC,4,UA,2657
AK,ANC,4,US,1222
AK,ANC,5,AA,1059
AK,ANC,5,AS,38065
AK,ANC,5,B6,265
AK,ANC,5,CO,1660
AK,ANC,5,DL,5294
AK,ANC,5,F9,571
AK,ANC,5,G4,171
AK,ANC,5,NW,4843
AK,ANC,5,TW,336
AK,ANC,5,UA,1625
AK,ANC,5,US,1836
AK,ANC,6,AA,1373
AK,ANC,6,AS,45788
AK,ANC,6,CO,3374
AK,ANC,6,DL,10858
AK,ANC,6,F9,281
AK,ANC,6,HP,303
AK,ANC,6,NW,7037
AK,ANC,6,TW,899
AK,ANC,6,UA,6947
AK,ANC,6,US,2113
AK,ANC,7,AA,2903
AK,ANC,7,AS,46170
AK,ANC,7,B6,1386
AK,ANC,7,CO,3616
AK,ANC,7,DL,12885
AK,ANC,7,F9,864
AK,ANC,7,HP,322
AK,ANC,7,NW,4389
AK,ANC,7,TW,717
AK,ANC,7,UA,7129
AK,ANC,7,US,307
AK,ANC,7,VX,254
AK,ANC,8,AA,4298
AK,ANC,8,AS,44118
AK,ANC,8,B6,589
AK,ANC,8,CO,2933
AK,ANC,8,DL,10545
AK,ANC,8,F9,822
AK,ANC,8,HP,591
AK,ANC,8,NW,4160
AK,ANC,8,TW,1345
AK,ANC,8,UA,8169
AK,ANC,8,US,1557
AK,ANC,9,AA,1706
AK,ANC,9,AS,33589
AK,ANC,9,B6,788
AK,ANC,9,CO,1422
AK,ANC,9,DL,6055
AK,ANC,9,F9,1139
AK,ANC,9,HP,595
AK,ANC,9,NW,2865
AK,ANC,9,TW,318
AK,ANC,9,UA,4847
AK,ANC,9,US,628
AK,ANC,9,VX,257
AK,ANC,10,AS,31043
AK,ANC,10,CO,1012
AK,ANC,10,DL,5123
AK,ANC,10,NW,1779
AK,ANC,10,UA,2530
AK,ANC,10,US,592
AK,ANC,11,AS,29253
AK,ANC,11,CO,1820
AK,ANC,11,DL,4433
AK,ANC,11,NW,1130
AK,ANC,11,TW,364
AK,ANC,11,UA,2455
AK,ANC,11,US,894
AK,ANC,12,AS,36330
AK,ANC,12,CO,729
AK,ANC,12,DL,1633
AK,ANC,12,HP,305
AK,ANC,12,NW,1460
AK,ANC,12,UA,2580
AK,ANC,12,US,895
AK,BET,1,AS,739
AK,BET,2,AS,944
AK,BET,3,AS,1135
AK,BET,4,AS,1330
AK,BET,5,AS,1155
AK,BET,6,AS,1059
AK,BET,7,AS,696
AK,BET,8,AS,807
AK,BET,9,AS,1046
AK,BET,10,AS,1191
AK,BET,11,AS,1080
AK,BET,12,AS,913
AK,BRW,1,AS,1337
AK,BRW,2,AS,1176
AK,BRW,3,AS,502
AK,BRW,4,AS,1402
AK,BRW,5,AS,1171
AK,BRW,6,AS,523
AK,BRW,7,AS,923
AK,BRW,8,AS,1449
AK,BRW,9,AS,393
AK,BRW,10,AS,1480
AK,BRW,11,AS,1322
AK,BRW,12,AS,1030
AK,CDV,1,AS,531
AK,CDV,2,AS,370
AK,CDV,3,AS,293
AK,CDV,4,AS,629
AK,CDV,5,AS,347
AK,CDV,6,AS,415
AK,CDV,7,AS,492
AK,CDV,8,AS,281
AK,CDV,9,AS,820
AK,CDV,10,AS,528
AK,CDV,11,AS,491
AK,CDV,12,AS,310
AK,DLG,1,AS,43
AK,DLG,3,AS,48
AK,DLG,4,AS,46
AK,DLG,5,AS,45
