StateCode,Origin,Reporting_Airline,Detail,Flights,Status
UT,SLC,9E,Departure Delay,1,Delayed
GA,SAV,9E,B,1,Cancelled
VA,CHO,9E,Arrival On-Time,1,On-Time
NC,CLT,9E,Arrival Delay,31,Delayed
VA,DCA,9E,Arrival On-Time,3,On-Time
NC,AVL,9E,Arrival Delay,27,Delayed
MT,HLN,9E,Arrival Delay,4,Delayed
MT,FCA,9E,Arrival Delay,1,Delayed
VA,IAD,9E,Arrival On-Time,3,On-Time
MS,JAN,9E,Arrival Delay,20,Delayed
MS,GTR,9E,Arrival Delay,1,Delayed
MS,GPT,9E,Arrival Delay,15,Delayed
VA,ORF,9E,Arrival On-Time,1,On-Time
MO,STL,9E,Arrival Delay,38,Delayed
VA,PHF,9E,Arrival On-Time,1,On-Time
MO,SGF,9E,Arrival Delay,32,Delayed
VA,RIC,9E,Arrival On-Time,1,On-Time
MO,MCI,9E,Arrival Delay,39,Delayed
MO,COU,9E,Arrival Delay,3,Delayed
VA,ROA,9E,Arrival On-Time,1,On-Time
MN,RST,9E,Arrival Delay,20,Delayed
SD,FSD,9E,Departure On-Time,2,On-Time
VT,BTV,9E,Arrival On-Time,1,On-Time
MN,MSP,9E,Arrival Delay,529,Delayed
MN,INL,9E,Arrival Delay,1,Delayed
MN,DLH,9E,Arrival Delay,20,Delayed
MN,BJI,9E,Arrival Delay,1,Delayed
MI,TVC,9E,Arrival Delay,33,Delayed
GA,SAV,9E,A,1,Cancelled
MI,PLN,9E,Arrival Delay,11,Delayed
NC,EWN,9E,Arrival Delay,3,Delayed
NC,ILM,9E,Arrival Delay,4,Delayed
NY,LGA,9E,Arrival Delay,232,Delayed
TN,TYS,9E,Arrival On-Time,4,On-Time
NY,JFK,9E,Arrival Delay,203,Delayed
NY,ITH,9E,Arrival Delay,6,Delayed
MO,MCI,9E,B,2,Cancelled
NY,HPN,9E,Arrival Delay,26,Delayed
TX,AUS,9E,Arrival On-Time,2,On-Time
NY,ELM,9E,Arrival Delay,20,Delayed
GA,ATL,9E,A,6,Cancelled
GA,ATL,9E,B,8,Cancelled
GA,ATL,9E,C,5,Cancelled
NY,BUF,9E,Arrival Delay,30,Delayed
NY,BGM,9E,Arrival Delay,16,Delayed
NY,ALB,9E,Arrival Delay,9,Delayed
TX,DFW,9E,Arrival On-Time,4,On-Time
NJ,EWR,9E,Arrival Delay,26,Delayed
NH,MHT,9E,Arrival Delay,8,Delayed
NE,OMA,9E,Arrival Delay,40,Delayed
TX,LBB,9E,Arrival On-Time,2,On-Time
NE,LNK,9E,Arrival Delay,9,Delayed
ND,MOT,9E,Arrival Delay,1,Delayed
ND,GFK,9E,Arrival Delay,8,Delayed
ND,FAR,9E,Arrival Delay,6,Delayed
ND,BIS,9E,Arrival Delay,14,Delayed
TN,BNA,9E,Departure On-Time,2,On-Time
NC,RDU,9E,Arrival Delay,80,Delayed
NC,OAJ,9E,Arrival Delay,5,Delayed
NC,GSO,9E,Arrival Delay,37,Delayed
MI,MQT,9E,Arrival Delay,4,Delayed
MI,MBS,9E,Arrival Delay,25,Delayed
MI,LAN,9E,Arrival Delay,14,Delayed
KY,SDF,9E,Arrival Delay,38,Delayed
KY,LEX,9E,Arrival Delay,27,Delayed
AL,HSV,9E,Departure On-Time,5,On-Time
SC,CAE,9E,Departure On-Time,3,On-Time
KY,CVG,9E,Arrival Delay,175,Delayed
AL,MGM,9E,Departure On-Time,2,On-Time
KS,ICT,9E,Arrival Delay,23,Delayed
AL,MOB,9E,Departure On-Time,2,On-Time
IL,MLI,9E,A,1,Cancelled
IN,SBN,9E,Arrival Delay,31,Delayed
AR,LIT,9E,Departure On-Time,1,On-Time
IN,IND,9E,Arrival Delay,112,Delayed
IN,FWA,9E,Arrival Delay,25,Delayed
IN,EVV,9E,Arrival Delay,28,Delayed
AR,XNA,9E,Departure On-Time,3,On-Time
IL,ORD,9E,A,3,Cancelled
IL,ORD,9E,C,5,Cancelled
IL,PIA,9E,Arrival Delay,18,Delayed
IL,ORD,9E,Arrival Delay,21,Delayed
IL,MLI,9E,Arrival Delay,26,Delayed
IL,MDW,9E,Arrival Delay,26,Delayed
IL,BMI,9E,Arrival Delay,23,Delayed
ID,IDA,9E,Arrival Delay,1,Delayed
IA,SUX,9E,Arrival Delay,5,Delayed
IA,DSM,9E,Arrival Delay,69,Delayed
IA,CID,9E,Arrival Delay,24,Delayed
IA,ALO,9E,Arrival Delay,8,Delayed
AL,BHM,9E,Departure On-Time,2,On-Time
IL,MDW,9E,C,3,Cancelled
LA,AEX,9E,Arrival Delay,7,Delayed
LA,BTR,9E,Arrival Delay,15,Delayed
WI,ATW,9E,Arrival On-Time,2,On-Time
IA,CID,9E,A,2,Cancelled
IA,CID,9E,B,2,Cancelled
MI,GRR,9E,Arrival Delay,35,Delayed
MI,FNT,9E,Arrival Delay,31,Delayed
WI,CWA,9E,Arrival On-Time,2,On-Time
MI,DTW,9E,Arrival Delay,1265,Delayed
MI,CMX,9E,Arrival Delay,2,Delayed
MI,CIU,9E,Arrival Delay,1,Delayed
MI,AZO,9E,Arrival Delay,13,Delayed
WI,MKE,9E,Arrival On-Time,1,On-Time
ME,PWM,9E,Arrival Delay,34,Delayed
IA,DSM,9E,A,7,Cancelled
FL,VPS,9E,A,1,Cancelled
IA,DSM,9E,B,2,Cancelled
ME,BGR,9E,Arrival Delay,22,Delayed
WI,MSN,9E,Arrival On-Time,2,On-Time
MD,BWI,9E,Arrival Delay,32,Delayed
MA,MVY,9E,Arrival Delay,1,Delayed
WI,RHI,9E,Arrival On-Time,2,On-Time
SC,GSP,9E,Departure On-Time,5,On-Time
MA,BOS,9E,Arrival Delay,77,Delayed
LA,SHV,9E,Arrival Delay,17,Delayed
IA,SUX,9E,A,1,Cancelled
LA,MSY,9E,Arrival Delay,8,Delayed
SC,CHS,9E,Departure On-Time,3,On-Time
IL,BMI,9E,C,1,Cancelled
LA,LFT,9E,Arrival Delay,8,Delayed
IA,DSM,9E,C,2,Cancelled
NY,ROC,9E,Arrival Delay,27,Delayed
TN,MEM,9E,Departure On-Time,101,On-Time
TN,MEM,9E,Arrival On-Time,39,On-Time
WI,LSE,9E,Arrival Delay,17,Delayed
WI,GRB,9E,Arrival Delay,22,Delayed
WI,CWA,9E,Arrival Delay,19,Delayed
ND,BIS,9E,Arrival On-Time,1,On-Time
WI,ATW,9E,Arrival Delay,27,Delayed
ND,FAR,9E,Arrival On-Time,2,On-Time
FL,JAX,9E,A,1,Cancelled
FL,JAX,9E,C,1,Cancelled
WA,PSC,9E,Arrival Delay,1,Delayed
NE,OMA,9E,Arrival On-Time,2,On-Time
WA,GEG,9E,Arrival Delay,1,Delayed
VT,BTV,9E,Arrival Delay,29,Delayed
VA,ROA,9E,Arrival Delay,17,Delayed
NJ,EWR,9E,Arrival On-Time,1,On-Time
VA,RIC,9E,Arrival Delay,31,Delayed
VA,PHF,9E,Arrival Delay,5,Delayed
VA,ORF,9E,Arrival Delay,43,Delayed
FL,MCO,9E,B,1,Cancelled
VA,IAD,9E,Arrival Delay,20,Delayed
VA,DCA,9E,Arrival Delay,34,Delayed
VA,CHO,9E,Arrival Delay,9,Delayed
UT,SLC,9E,Arrival Delay,5,Delayed
NY,ALB,9E,Arrival On-Time,1,On-Time
NY,BGM,9E,Arrival On-Time,1,On-Time
NY,BUF,9E,Arrival On-Time,1,On-Time
TX,SAT,9E,Arrival Delay,10,Delayed
TX,MFE,9E,Arrival Delay,2,Delayed
WI,MKE,9E,Arrival Delay,16,Delayed
NC,RDU,9E,Arrival On-Time,4,On-Time
WI,MSN,9E,Arrival Delay,24,Delayed
WI,RHI,9E,Arrival Delay,1,Delayed
MI,FNT,9E,Arrival On-Time,2,On-Time
MI,GRR,9E,Arrival On-Time,2,On-Time
MI,LAN,9E,Arrival On-Time,2,On-Time
MI,MQT,9E,Arrival On-Time,1,On-Time
MI,PLN,9E,Arrival On-Time,1,On-Time
MI,TVC,9E,Arrival On-Time,3,On-Time
MN,DLH,9E,Arrival On-Time,2,On-Time
MN,MSP,9E,Arrival On-Time,34,On-Time
MN,RST,9E,Arrival On-Time,2,On-Time
MO,MCI,9E,Arrival On-Time,1,On-Time
CT,BDL,9E,C,1,Cancelled
MO,STL,9E,Arrival On-Time,1,On-Time
MS,GPT,9E,Arrival On-Time,1,On-Time
TX,AUS,9E,Departure On-Time,2,On-Time
MS,JAN,9E,Arrival On-Time,1,On-Time
AR,LIT,9E,Departure Delay,11,Delayed
AR,FSM,9E,Departure Delay,4,Delayed
AL,MOB,9E,Departure Delay,12,Delayed
AL,MGM,9E,Departure Delay,8,Delayed
AL,HSV,9E,Departure Delay,24,Delayed
NC,AVL,9E,Arrival On-Time,1,On-Time
AL,BHM,9E,Departure Delay,19,Delayed
TX,DFW,9E,Departure On-Time,1,On-Time
NC,GSO,9E,Arrival On-Time,3,On-Time
WY,CPR,9E,Arrival Delay,3,Delayed
WV,LWB,9E,Arrival Delay,1,Delayed
WV,CRW,9E,Arrival Delay,6,Delayed
NC,ILM,9E,Arrival On-Time,1,On-Time
AR,XNA,9E,Departure Delay,33,Delayed
GA,VLD,9E,Arrival Delay,3,Delayed
