StateCode,Origin,Reporting_Airline,Flights,Total Flights per state,Total Flights per airport
AK,ADK,AS,25,8624,25
AK,ADQ,AS,134,8624,134
AK,AKN,AS,42,8624,42
AK,ANC,AA,37,8624,4120
AK,ANC,AS,3280,8624,4120
AK,ANC,B6,14,8624,4120
AK,ANC,CO,106,8624,4120
AK,ANC,DL,308,8624,4120
AK,ANC,F9,13,8624,4120
AK,ANC,G4,1,8624,4120
AK,ANC,HP,8,8624,4120
AK,ANC,NW,121,8624,4120
AK,ANC,TW,15,8624,4120
AK,ANC,UA,171,8624,4120
AK,ANC,US,44,8624,4120
AK,ANC,VX,2,8624,4120
AK,BET,AS,218,8624,218
AK,BRW,AS,170,8624,170
AK,CDV,AS,168,8624,168
AK,DLG,AS,27,8624,27
AK,DUT,AS,41,8624,41
AK,FAI,AS,892,8624,985
AK,FAI,DL,59,8624,985
AK,FAI,F9,3,8624,985
AK,FAI,NW,20,8624,985
AK,FAI,UA,11,8624,985
AK,GST,AS,17,8624,17
AK,JNU,AS,889,8624,899
AK,JNU,DL,9,8624,899
AK,JNU,OO,1,8624,899
AK,KTN,AS,484,8624,487
AK,KTN,OO,3,8624,487
AK,OME,AS,215,8624,215
AK,OTZ,AS,215,8624,215
AK,PSG,AS,165,8624,165
AK,SCC,AS,148,8624,148
AK,SIT,AS,259,8624,268
AK,SIT,OO,9,8624,268
AK,WRG,AS,136,8624,136
AK,YAK,AS,144,8624,144
AL,BFM,F9,3,7790,3
AL,BHM,9E,81,7790,3983
AL,BHM,AA,216,7790,3983
AL,BHM,CO,56,7790,3983
AL,BHM,DH,10,7790,3983
AL,BHM,DL,645,7790,3983
AL,BHM,EV,401,7790,3983
AL,BHM,F9,3,7790,3983
AL,BHM,MQ,85,7790,3983
AL,BHM,NW,117,7790,3983
AL,BHM,OH,197,7790,3983
AL,BHM,OO,160,7790,3983
AL,BHM,UA,8,7790,3983
AL,BHM,US,87,7790,3983
AL,BHM,WN,1560,7790,3983
AL,BHM,XE,228,7790,3983
AL,BHM,YV,126,7790,3983
AL,BHM,YX,3,7790,3983
AL,DHN,EV,196,7790,234
AL,DHN,OH,1,7790,234
AL,DHN,OO,37,7790,234
AL,HSV,9E,89,7790,1766
AL,HSV,AA,142,7790,1766
AL,HSV,DH,24,7790,1766
AL,HSV,DL,393,7790,1766
AL,HSV,EV,472,7790,1766
AL,HSV,F9,3,7790,1766
AL,HSV,FL,30,7790,1766
AL,HSV,MQ,184,7790,1766
AL,HSV,OH,169,7790,1766
AL,HSV,OO,41,7790,1766
AL,HSV,US,32,7790,1766
AL,HSV,XE,96,7790,1766
AL,HSV,YV,71,7790,1766
AL,HSV,YX,20,7790,1766
AL,MGM,9E,43,7790,685
AL,MGM,DL,34,7790,685
AL,MGM,EV,445,7790,685
AL,MGM,MQ,81,7790,685
AL,MGM,OH,11,7790,685
AL,MGM,OO,51,7790,685
AL,MGM,XE,19,7790,685
AL,MGM,YV,1,7790,685
AL,MOB,9E,55,7790,1119
AL,MOB,DL,242,7790,1119
AL,MOB,EV,452,7790,1119
AL,MOB,MQ,126,7790,1119
AL,MOB,OH,17,7790,1119
AL,MOB,OO,45,7790,1119
AL,MOB,XE,150,7790,1119
AL,MOB,YV,32,7790,1119
AR,FSM,9E,25,5982,419
AR,FSM,EV,81,5982,419
AR,FSM,MQ,278,5982,419
AR,FSM,OO,18,5982,419
AR,FSM,YV,17,5982,419
AR,LIT,9E,32,5982,3180
AR,LIT,AA,104,5982,3180
AR,LIT,DL,394,5982,3180
AR,LIT,EV,431,5982,3180
AR,LIT,F9,11,5982,3180
AR,LIT,G4,4,5982,3180
AR,LIT,MQ,709,5982,3180
AR,LIT,NW,121,5982,3180
AR,LIT,OH,49,5982,3180
AR,LIT,OO,110,5982,3180
AR,LIT,TW,57,5982,3180
AR,LIT,WN,884,5982,3180
AR,LIT,XE,239,5982,3180
AR,LIT,YV,32,5982,3180
AR,LIT,YX,3,5982,3180
AR,TXK,EV,21,5982,234
AR,TXK,MQ,199,5982,234
AR,TXK,OO,13,5982,234
AR,TXK,XE,1,5982,234
AR,XNA,9E,139,5982,2149
AR,XNA,AA,131,5982,2149
AR,XNA,DL,33,5982,2149
AR,XNA,EV,457,5982,2149
AR,XNA,G4,8,5982,2149
AR,XNA,MQ,859,5982,2149
AR,XNA,NW,11,5982,2149
AR,XNA,OH,66,5982,2149
