sound,temperature,humidity,score
60,68,40,10
60,68,41,9.86
60,69,40,9.86
61,68,40,9.86
60,68,42,9.71
60,69,41,9.71
60,70,40,9.71
61,68,41,9.71
61,69,40,9.71
62,68,40,9.71
60,68,43,9.57
60,69,42,9.57
60,70,41,9.57
60,71,40,9.57
61,68,42,9.57
61,69,41,9.57
61,70,40,9.57
62,68,41,9.57
62,69,40,9.57
63,68,40,9.57
60,68,44,9.43
60,69,43,9.43
60,70,42,9.43
60,71,41,9.43
60,72,40,9.43
61,68,43,9.43
61,69,42,9.43
61,70,41,9.43
61,71,40,9.43
62,68,42,9.43
62,69,41,9.43
62,70,40,9.43
63,68,41,9.43
63,69,40,9.43
64,68,40,9.43
60,68,45,9.29
60,69,44,9.29
60,70,43,9.29
60,71,42,9.29
60,72,41,9.29
60,73,40,9.29
61,68,44,9.29
61,69,43,9.29
61,70,42,9.29
61,71,41,9.29
61,72,40,9.29
62,68,43,9.29
62,69,42,9.29
62,70,41,9.29
62,71,40,9.29
63,68,42,9.29
63,69,41,9.29
63,70,40,9.29
64,68,41,9.29
64,69,40,9.29
65,68,40,9.29
60,68,46,9.14
60,69,45,9.14
60,70,44,9.14
60,71,43,9.14
60,72,42,9.14
60,73,41,9.14
60,74,40,9.14
61,68,45,9.14
61,69,44,9.14
61,70,43,9.14
61,71,42,9.14
61,72,41,9.14
61,73,40,9.14
62,68,44,9.14
62,69,43,9.14
62,70,42,9.14
62,71,41,9.14
62,72,40,9.14
63,68,43,9.14
63,69,42,9.14
63,70,41,9.14
63,71,40,9.14
64,68,42,9.14
64,69,41,9.14
64,70,40,9.14
65,68,41,9.14
65,69,40,9.14
66,68,40,9.14
60,68,47,9
60,69,46,9
60,70,45,9
60,71,44,9
60,72,43,9
60,73,42,9
60,74,41,9
60,75,40,9
61,68,46,9
61,69,45,9
61,70,44,9
61,71,43,9
61,72,42,9
61,73,41,9
61,74,40,9
62,68,45,9
62,69,44,9
62,70,43,9
62,71,42,9
62,72,41,9
62,73,40,9
63,68,44,9
63,69,43,9
63,70,42,9
63,71,41,9
63,72,40,9
64,68,43,9
64,69,42,9
64,70,41,9
64,71,40,9
65,68,42,9
65,69,41,9
65,70,40,9
66,68,41,9
66,69,40,9
67,68,40,9
60,68,48,8.86
60,69,47,8.86
60,70,46,8.86
60,71,45,8.86
60,72,44,8.86
60,73,43,8.86
60,74,42,8.86
60,75,41,8.86
60,76,40,8.86
61,68,47,8.86
61,69,46,8.86
61,70,45,8.86
61,71,44,8.86
61,72,43,8.86
61,73,42,8.86
61,74,41,8.86
61,75,40,8.86
62,68,46,8.86
62,69,45,8.86
62,70,44,8.86
62,71,43,8.86
62,72,42,8.86
62,73,41,8.86
62,74,40,8.86
63,68,45,8.86
63,69,44,8.86
63,70,43,8.86
63,71,42,8.86
63,72,41,8.86
63,73,40,8.86
64,68,44,8.86
64,69,43,8.86
64,70,42,8.86
64,71,41,8.86
64,72,40,8.86
65,68,43,8.86
65,69,42,8.86
65,70,41,8.86
65,71,40,8.86
66,68,42,8.86
66,69,41,8.86
66,70,40,8.86
67,68,41,8.86
67,69,40,8.86
68,68,40,8.86
60,68,49,8.71
60,69,48,8.71
60,70,47,8.71
60,71,46,8.71
60,72,45,8.71
60,73,44,8.71
60,74,43,8.71
60,75,42,8.71
60,76,41,8.71
60,77,40,8.71
61,68,48,8.71
61,69,47,8.71
61,70,46,8.71
61,71,45,8.71
61,72,44,8.71
61,73,43,8.71
61,74,42,8.71
61,75,41,8.71
61,76,40,8.71
62,68,47,8.71
62,69,46,8.71
62,70,45,8.71
62,71,44,8.71
62,72,43,8.71
62,73,42,8.71
62,74,41,8.71
62,75,40,8.71
63,68,46,8.71
63,69,45,8.71
63,70,44,8.71
63,71,43,8.71
63,72,42,8.71
63,73,41,8.71
63,74,40,8.71
64,68,45,8.71
64,69,44,8.71
64,70,43,8.71
64,71,42,8.71
64,72,41,8.71
64,73,40,8.71
65,68,44,8.71
65,69,43,8.71
65,70,42,8.71
65,71,41,8.71
65,72,40,8.71
66,68,43,8.71
66,69,42,8.71
66,70,41,8.71
66,71,40,8.71
67,68,42,8.71
67,69,41,8.71
67,70,40,8.71
68,68,41,8.71
68,69,40,8.71
69,68,40,8.71
60,68,50,8.57
60,69,49,8.57
60,70,48,8.57
60,71,47,8.57
60,72,46,8.57
60,73,45,8.57
60,74,44,8.57
60,75,43,8.57
60,76,42,8.57
60,77,41,8.57
60,78,40,8.57
61,68,49,8.57
61,69,48,8.57
61,70,47,8.57
61,71,46,8.57
61,72,45,8.57
61,73,44,8.57
61,74,43,8.57
61,75,42,8.57
61,76,41,8.57
61,77,40,8.57
62,68,48,8.57
62,69,47,8.57
62,70,46,8.57
62,71,45,8.57
62,72,44,8.57
62,73,43,8.57
62,74,42,8.57
62,75,41,8.57
62,76,40,8.57
63,68,47,8.57
63,69,46,8.57
63,70,45,8.57
63,71,44,8.57
63,72,43,8.57
63,73,42,8.57
63,74,41,8.57
63,75,40,8.57
64,68,46,8.57
64,69,45,8.57
64,70,44,8.57
64,71,43,8.57
64,72,42,8.57
64,73,41,8.57
64,74,40,8.57
65,68,45,8.57
65,69,44,8.57
65,70,43,8.57
65,71,42,8.57
65,72,41,8.57
65,73,40,8.57
66,68,44,8.57
66,69,43,8.57
66,70,42,8.57
66,71,41,8.57
66,72,40,8.57
67,68,43,8.57
67,69,42,8.57
67,70,41,8.57
67,71,40,8.57
68,68,42,8.57
68,69,41,8.57
68,70,40,8.57
69,68,41,8.57
69,69,40,8.57
70,68,40,8.57
60,68,51,8.43
60,69,50,8.43
60,70,49,8.43
60,71,48,8.43
60,72,47,8.43
60,73,46,8.43
60,74,45,8.43
60,75,44,8.43
60,76,43,8.43
60,77,42,8.43
60,78,41,8.43
60,79,40,8.43
61,68,50,8.43
61,69,49,8.43
61,70,48,8.43
61,71,47,8.43
61,72,46,8.43
61,73,45,8.43
61,74,44,8.43
61,75,43,8.43
